


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
  Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
    32  -73.42         2237          0.94           -0.03     118.38       1.18 Alligator_TrailingProfitMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
    21  -74.66         2237          0.94           -0.03     115.08       1.15  Alligator_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
    29  -74.66         2237          0.94           -0.03     115.08       1.15  Alligator_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
     5 -110.32         2237          0.89           -0.05     116.36       1.16   Alligator_TrailingProfitMethod=3; MaxOrders=0; MaxOrdersPerType=0;
     4 -116.13         2237          0.86           -0.05     125.80       1.26  Alligator_TrailingProfitMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
     6 -127.78         2237          0.87           -0.06     133.82       1.34  Alligator_TrailingProfitMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
     3 -132.68         2237          0.85           -0.06     139.81       1.40   Alligator_TrailingProfitMethod=2; MaxOrders=0; MaxOrdersPerType=0;
    50 -199.45         2237          0.71           -0.09     205.65       2.06 Alligator_TrailingProfitMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
    49 -202.13         2237          0.70           -0.09     209.35       2.09  Alligator_TrailingProfitMethod=25; MaxOrders=0; MaxOrdersPerType=0;
    51 -211.17         2237          0.63           -0.09     221.68       2.22  Alligator_TrailingProfitMethod=26; MaxOrders=0; MaxOrdersPerType=0;
    52 -221.05         2237          0.61           -0.10     231.37       2.31 Alligator_TrailingProfitMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
