


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
      Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        45  -90.98          895          0.85           -0.10     158.37       1.57  MA_TrailingStopMethod=23; MaxOrders=0; MaxOrdersPerType=0;
        28  -91.68          895          0.75           -0.10     150.95       1.50 MA_TrailingStopMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
        46  -91.51          895          0.85           -0.10     158.90       1.58 MA_TrailingStopMethod=-23; MaxOrders=0; MaxOrdersPerType=0;
        52  -91.07          895          0.32           -0.10      92.12       0.92 MA_TrailingStopMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
        21  -95.08          895          0.76           -0.11     161.31       1.60  MA_TrailingStopMethod=11; MaxOrders=0; MaxOrdersPerType=0;
        38  -96.94          895          0.68           -0.11     119.60       1.19 MA_TrailingStopMethod=-19; MaxOrders=0; MaxOrdersPerType=0;
        10  -96.37          895          0.80           -0.11     176.13       1.75  MA_TrailingStopMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
         4 -101.70          895          0.56           -0.11     108.67       1.09  MA_TrailingStopMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
        42 -103.76          895          0.83           -0.12     187.28       1.86 MA_TrailingStopMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
        31 -103.70          895          0.74           -0.12     160.52       1.60  MA_TrailingStopMethod=16; MaxOrders=0; MaxOrdersPerType=0;
        51 -103.00          895          0.31           -0.12     104.98       1.05  MA_TrailingStopMethod=26; MaxOrders=0; MaxOrdersPerType=0;
