


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       40 -1432.34        14278          0.76           -0.10    1479.93      14.74  Alligator5_SignalMethod=15; MaxOrders=0; MaxOrdersPerType=0;
       21 -1479.43        12705          0.67           -0.12    1486.13      14.85  Alligator5_SignalMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
       25 -1479.43        12705          0.67           -0.12    1486.13      14.85  Alligator5_SignalMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
       13 -1495.12        12838          0.67           -0.12    1502.25      15.01 Alligator5_SignalMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
       17 -1495.12        12838          0.67           -0.12    1502.25      15.01  Alligator5_SignalMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
       34 -1594.92        16763          0.77           -0.10    1668.35      16.57   Alligator5_SignalMethod=9; MaxOrders=0; MaxOrdersPerType=0;
       26 -1682.47        17450          0.76           -0.10    1747.17      17.37   Alligator5_SignalMethod=1; MaxOrders=0; MaxOrdersPerType=0;
       39 -1693.03        19453          0.78           -0.09    1769.40      17.57  Alligator5_SignalMethod=14; MaxOrders=0; MaxOrdersPerType=0;
       35 -1700.75        19481          0.78           -0.09    1776.79      17.64  Alligator5_SignalMethod=10; MaxOrders=0; MaxOrdersPerType=0;
       31 -1706.59        20105          0.79           -0.08    1788.82      17.75   Alligator5_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=0;
       27 -1716.46        20164          0.78           -0.09    1798.36      17.84   Alligator5_SignalMethod=2; MaxOrders=0; MaxOrdersPerType=0;
       37 -1793.73        21394          0.79           -0.08    1884.47      18.68  Alligator5_SignalMethod=12; MaxOrders=0; MaxOrdersPerType=0;
       29 -1861.25        22310          0.79           -0.08    1949.53      19.34   Alligator5_SignalMethod=4; MaxOrders=0; MaxOrdersPerType=0;
       20 -1973.74        16671          0.66           -0.12    1979.47      19.79  Alligator5_SignalMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
