


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
       Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         23 -263.07         2360          0.70           -0.11     285.78       2.86   SAR15_SignalMethod=97; MaxOrders=0; MaxOrdersPerType=0;
         17 -263.07         2360          0.70           -0.11     285.78       2.86  SAR15_SignalMethod=103; MaxOrders=0; MaxOrdersPerType=0;
         10 -263.07         2360          0.70           -0.11     285.78       2.86   SAR15_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=0;
          6 -263.07         2360          0.70           -0.11     285.78       2.86    SAR15_SignalMethod=3; MaxOrders=0; MaxOrdersPerType=0;
          4 -263.07         2360          0.70           -0.11     285.78       2.86   SAR15_SignalMethod=65; MaxOrders=0; MaxOrdersPerType=0;
          3 -263.07         2360          0.70           -0.11     285.78       2.86  SAR15_SignalMethod=115; MaxOrders=0; MaxOrdersPerType=0;
          2 -263.07         2360          0.70           -0.11     285.78       2.86   SAR15_SignalMethod=85; MaxOrders=0; MaxOrdersPerType=0;
         60 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-28; MaxOrders=0; MaxOrdersPerType=0;
         57 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-64; MaxOrders=0; MaxOrdersPerType=0;
         34 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
         20 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-74; MaxOrders=0; MaxOrdersPerType=0;
         13 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
         11 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-32; MaxOrders=0; MaxOrdersPerType=0;
          7 -264.18         2364          0.71           -0.11     283.82       2.84  SAR15_SignalMethod=-62; MaxOrders=0; MaxOrdersPerType=0;
         43 -269.17         2364          0.70           -0.11     288.81       2.89   SAR15_SignalMethod=22; MaxOrders=0; MaxOrdersPerType=0;
         37 -269.17         2364          0.70           -0.11     288.81       2.89   SAR15_SignalMethod=68; MaxOrders=0; MaxOrdersPerType=0;
         33 -269.17         2364          0.70           -0.11     288.81       2.89   SAR15_SignalMethod=70; MaxOrders=0; MaxOrdersPerType=0;
          9 -269.17         2364          0.70           -0.11     288.81       2.89   SAR15_SignalMethod=82; MaxOrders=0; MaxOrdersPerType=0;
