


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          11 -262.34         2353          0.71           -0.11     285.05       2.85  SAR1_SignalMethod=-33; MaxOrders=0; MaxOrdersPerType=0;
          10 -262.52         2354          0.71           -0.11     285.23       2.85    SAR1_SignalMethod=3; MaxOrders=0; MaxOrdersPerType=0;
           9 -262.34         2353          0.71           -0.11     285.05       2.85   SAR1_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=0;
           8 -262.34         2353          0.71           -0.11     285.05       2.85  SAR1_SignalMethod=103; MaxOrders=0; MaxOrdersPerType=0;
           6 -262.34         2353          0.71           -0.11     285.05       2.85   SAR1_SignalMethod=83; MaxOrders=0; MaxOrdersPerType=0;
           5 -262.34         2353          0.71           -0.11     285.05       2.85   SAR1_SignalMethod=61; MaxOrders=0; MaxOrdersPerType=0;
           3 -262.34         2353          0.71           -0.11     285.05       2.85  SAR1_SignalMethod=-21; MaxOrders=0; MaxOrdersPerType=0;
           2 -262.34         2353          0.71           -0.11     285.05       2.85  SAR1_SignalMethod=-63; MaxOrders=0; MaxOrdersPerType=0;
          63 -263.28         2360          0.71           -0.11     285.99       2.86  SAR1_SignalMethod=-95; MaxOrders=0; MaxOrdersPerType=0;
          38 -263.28         2360          0.71           -0.11     285.99       2.86  SAR1_SignalMethod=-86; MaxOrders=0; MaxOrdersPerType=0;
          18 -263.28         2360          0.71           -0.11     285.99       2.86  SAR1_SignalMethod=-85; MaxOrders=0; MaxOrdersPerType=0;
          64 -264.22         2356          0.70           -0.11     286.93       2.87   SAR1_SignalMethod=18; MaxOrders=0; MaxOrdersPerType=0;
          55 -264.22         2356          0.70           -0.11     286.93       2.87   SAR1_SignalMethod=96; MaxOrders=0; MaxOrdersPerType=0;
          54 -264.22         2356          0.70           -0.11     286.93       2.87  SAR1_SignalMethod=118; MaxOrders=0; MaxOrdersPerType=0;
          52 -264.22         2356          0.70           -0.11     286.93       2.87  SAR1_SignalMethod=-78; MaxOrders=0; MaxOrdersPerType=0;
          49 -264.22         2356          0.70           -0.11     286.93       2.87 SAR1_SignalMethod=-106; MaxOrders=0; MaxOrdersPerType=0;
          45 -264.22         2356          0.70           -0.11     286.93       2.87 SAR1_SignalMethod=-122; MaxOrders=0; MaxOrdersPerType=0;
          30 -264.22         2356          0.70           -0.11     286.93       2.87   SAR1_SignalMethod=82; MaxOrders=0; MaxOrdersPerType=0;
          25 -264.40         2357          0.70           -0.11     287.11       2.87   SAR1_SignalMethod=34; MaxOrders=0; MaxOrdersPerType=0;
          24 -264.22         2356          0.70           -0.11     286.93       2.87   SAR1_SignalMethod=86; MaxOrders=0; MaxOrdersPerType=0;
           7 -264.22         2356          0.70           -0.11     286.93       2.87  SAR1_SignalMethod=-46; MaxOrders=0; MaxOrdersPerType=0;
           1 -264.22         2356          0.70           -0.11     286.93       2.87   SAR1_SignalMethod=50; MaxOrders=0; MaxOrdersPerType=0;
          68 -485.57         5041          0.61           -0.10     500.16       5.00 SAR1_SignalMethod=-124; MaxOrders=0; MaxOrdersPerType=0;
