


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
           5 -268.63         2360          0.70           -0.11     291.34       2.91  SAR5_SignalMethod=-65; MaxOrders=0; MaxOrdersPerType=0;
           4 -268.63         2360          0.70           -0.11     291.34       2.91  SAR5_SignalMethod=-25; MaxOrders=0; MaxOrdersPerType=0;
           2 -268.63         2360          0.70           -0.11     291.34       2.91   SAR5_SignalMethod=44; MaxOrders=0; MaxOrdersPerType=0;
           1 -268.63         2360          0.70           -0.11     291.34       2.91   SAR5_SignalMethod=25; MaxOrders=0; MaxOrdersPerType=0;
          65 -269.90         2362          0.70           -0.11     292.61       2.93    SAR5_SignalMethod=1; MaxOrders=0; MaxOrdersPerType=0;
          63 -269.35         2364          0.70           -0.11     292.06       2.92 SAR5_SignalMethod=-111; MaxOrders=0; MaxOrdersPerType=0;
          61 -269.90         2362          0.70           -0.11     292.61       2.93   SAR5_SignalMethod=33; MaxOrders=0; MaxOrdersPerType=0;
          45 -269.35         2364          0.70           -0.11     292.06       2.92 SAR5_SignalMethod=-107; MaxOrders=0; MaxOrdersPerType=0;
          37 -269.90         2362          0.70           -0.11     292.61       2.93    SAR5_SignalMethod=3; MaxOrders=0; MaxOrdersPerType=0;
          35 -269.00         2362          0.70           -0.11     291.71       2.92  SAR5_SignalMethod=-29; MaxOrders=0; MaxOrdersPerType=0;
          19 -269.90         2362          0.70           -0.11     292.61       2.93   SAR5_SignalMethod=11; MaxOrders=0; MaxOrdersPerType=0;
          13 -269.90         2362          0.70           -0.11     292.61       2.93   SAR5_SignalMethod=40; MaxOrders=0; MaxOrdersPerType=0;
           7 -269.00         2362          0.70           -0.11     291.71       2.92  SAR5_SignalMethod=-31; MaxOrders=0; MaxOrdersPerType=0;
          58 -270.75         2370          0.70           -0.11     293.46       2.93 SAR5_SignalMethod=-116; MaxOrders=0; MaxOrdersPerType=0;
          49 -270.39         2368          0.70           -0.11     293.10       2.93  SAR5_SignalMethod=-89; MaxOrders=0; MaxOrdersPerType=0;
          48 -270.39         2368          0.70           -0.11     293.10       2.93 SAR5_SignalMethod=-113; MaxOrders=0; MaxOrdersPerType=0;
          29 -270.39         2368          0.70           -0.11     293.10       2.93  SAR5_SignalMethod=-81; MaxOrders=0; MaxOrdersPerType=0;
          28 -270.75         2370          0.70           -0.11     293.46       2.93 SAR5_SignalMethod=-115; MaxOrders=0; MaxOrdersPerType=0;
          21 -270.39         2368          0.70           -0.11     293.10       2.93 SAR5_SignalMethod=-121; MaxOrders=0; MaxOrdersPerType=0;
          14 -270.39         2368          0.70           -0.11     293.10       2.93  SAR5_SignalMethod=-83; MaxOrders=0; MaxOrdersPerType=0;
          47 -291.48         2995          0.72           -0.10     293.52       2.94 SAR5_SignalMethod=-124; MaxOrders=0; MaxOrdersPerType=0;
