


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.04.29 23:30 (2018.01.01 - 2018.04.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
   Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
      6  -12.15          389          0.95           -0.03      67.01       0.67  Fractals_TrailingStopMethod=-3; MaxOrders=0; MaxOrdersPerType=0;
      4  -13.83          345          0.93           -0.04      58.87       0.59  Fractals_TrailingStopMethod=-2; MaxOrders=0; MaxOrdersPerType=0;
     11  -16.33          116          0.92           -0.14      60.69       0.61   Fractals_TrailingStopMethod=6; MaxOrders=0; MaxOrdersPerType=0;
     29  -17.22          177          0.92           -0.10      56.26       0.56  Fractals_TrailingStopMethod=15; MaxOrders=0; MaxOrdersPerType=0;
      3  -22.71          350          0.89           -0.06      66.97       0.67   Fractals_TrailingStopMethod=2; MaxOrders=0; MaxOrdersPerType=0;
      9  -22.44          150          0.90           -0.15      61.46       0.61   Fractals_TrailingStopMethod=5; MaxOrders=0; MaxOrdersPerType=0;
     10  -24.10          159          0.89           -0.15      62.18       0.62  Fractals_TrailingStopMethod=-5; MaxOrders=0; MaxOrdersPerType=0;
     17  -28.87          103          0.87           -0.28      66.74       0.67   Fractals_TrailingStopMethod=9; MaxOrders=0; MaxOrdersPerType=0;
     51  -94.25          628          0.55           -0.15     105.97       1.06  Fractals_TrailingStopMethod=26; MaxOrders=0; MaxOrdersPerType=0;
     52 -122.59          778          0.39           -0.16     129.84       1.30 Fractals_TrailingStopMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
