


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
        Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
          18 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=39; MaxOrders=0; MaxOrdersPerType=0;
          17 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=127; MaxOrders=0; MaxOrdersPerType=0;
          16 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
          15 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
          14 -174.21         1322          0.71           -0.13     227.55       2.27 MA15_SignalMethod=-121; MaxOrders=0; MaxOrdersPerType=0;
          13 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=38; MaxOrders=0; MaxOrdersPerType=0;
          12 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=121; MaxOrders=0; MaxOrdersPerType=0;
          11 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=100; MaxOrders=0; MaxOrdersPerType=0;
          10 -174.21         1322          0.71           -0.13     227.55       2.27  MA15_SignalMethod=-95; MaxOrders=0; MaxOrdersPerType=0;
           9 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=21; MaxOrders=0; MaxOrdersPerType=0;
           8 -174.21         1322          0.71           -0.13     227.55       2.27   MA15_SignalMethod=16; MaxOrders=0; MaxOrdersPerType=0;
