


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
       Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
         49 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=17; MaxOrders=0; MaxOrdersPerType=0;
         51 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=19; MaxOrders=0; MaxOrdersPerType=0;
         53 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=21; MaxOrders=0; MaxOrdersPerType=0;
         55 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=23; MaxOrders=0; MaxOrdersPerType=0;
         57 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=25; MaxOrders=0; MaxOrdersPerType=0;
         59 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=27; MaxOrders=0; MaxOrdersPerType=0;
         61 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=29; MaxOrders=0; MaxOrdersPerType=0;
         63 -246.49         2289          0.67           -0.11     271.08       2.71  MACD15_SignalMethod=31; MaxOrders=0; MaxOrdersPerType=0;
          8 -249.05         2315          0.71           -0.11     259.41       2.59 MACD15_SignalMethod=-24; MaxOrders=0; MaxOrdersPerType=0;
         16 -249.05         2315          0.71           -0.11     259.41       2.59 MACD15_SignalMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
         24 -249.05         2315          0.71           -0.11     259.41       2.59  MACD15_SignalMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
          2 -250.91         2424          0.72           -0.10     284.98       2.85 MACD15_SignalMethod=-30; MaxOrders=0; MaxOrdersPerType=0;
         38 -250.90         2333          0.71           -0.11     251.68       2.52   MACD15_SignalMethod=6; MaxOrders=0; MaxOrdersPerType=0;
         12 -250.57         2212          0.71           -0.11     255.06       2.55 MACD15_SignalMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
         20 -250.57         2212          0.71           -0.11     255.06       2.55 MACD15_SignalMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
         28 -250.57         2212          0.71           -0.11     255.06       2.55  MACD15_SignalMethod=-4; MaxOrders=0; MaxOrdersPerType=0;
          6 -289.19         2364          0.67           -0.12     291.33       2.91 MACD15_SignalMethod=-26; MaxOrders=0; MaxOrdersPerType=0;
          4 -304.09         2175          0.66           -0.14     308.58       3.09 MACD15_SignalMethod=-28; MaxOrders=0; MaxOrdersPerType=0;
