


                                                                 Optimization Report
                                                             EA31337-Lite-Backtest-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.02.27 23:30 (2018.01.01 - 2018.02.28)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       43 -24.55           73          0.86           -0.34      66.23       0.66  WPR_TrailingProfitMethod=22; MaxOrders=0; MaxOrdersPerType=0;
       44 -24.55           73          0.86           -0.34      66.23       0.66 WPR_TrailingProfitMethod=-22; MaxOrders=0; MaxOrdersPerType=0;
        1 -24.49           49          0.85           -0.50      65.21       0.65   WPR_TrailingProfitMethod=1; MaxOrders=0; MaxOrdersPerType=0;
        2 -24.49           49          0.85           -0.50      65.21       0.65  WPR_TrailingProfitMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
       15 -25.12           48          0.82           -0.52      72.20       0.72   WPR_TrailingProfitMethod=8; MaxOrders=0; MaxOrdersPerType=0;
       16 -25.12           48          0.82           -0.52      72.20       0.72  WPR_TrailingProfitMethod=-8; MaxOrders=0; MaxOrdersPerType=0;
       53 -27.44           98          0.81           -0.28      77.09       0.77  WPR_TrailingProfitMethod=27; MaxOrders=0; MaxOrdersPerType=0;
       54 -27.44           98          0.81           -0.28      77.09       0.77 WPR_TrailingProfitMethod=-27; MaxOrders=0; MaxOrdersPerType=0;
       27 -28.15          118          0.84           -0.24      65.53       0.65  WPR_TrailingProfitMethod=14; MaxOrders=0; MaxOrdersPerType=0;
       28 -28.15          118          0.84           -0.24      65.53       0.65 WPR_TrailingProfitMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
       19 -28.03          106          0.85           -0.26      65.58       0.66  WPR_TrailingProfitMethod=10; MaxOrders=0; MaxOrdersPerType=0;
