


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
      Pass  Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
        20 -135.75         1109          0.79           -0.12     181.74       1.82 WPR_TrailingStopMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
        32 -141.37         1109          0.79           -0.13     192.89       1.93 WPR_TrailingStopMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
        43 -142.51         1109          0.81           -0.13     193.28       1.93  WPR_TrailingStopMethod=22; MaxOrders=0; MaxOrdersPerType=0;
        40 -142.26         1109          0.76           -0.13     153.40       1.53 WPR_TrailingStopMethod=-20; MaxOrders=0; MaxOrdersPerType=0;
        28 -147.78         1109          0.78           -0.13     191.93       1.92 WPR_TrailingStopMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
        17 -149.88         1109          0.83           -0.14     173.92       1.74   WPR_TrailingStopMethod=9; MaxOrders=0; MaxOrdersPerType=0;
        39 -151.12         1109          0.78           -0.14     155.88       1.56  WPR_TrailingStopMethod=20; MaxOrders=0; MaxOrdersPerType=0;
        30 -159.24         1109          0.77           -0.14     191.55       1.91 WPR_TrailingStopMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
         7 -166.69         1109          0.79           -0.15     184.22       1.84   WPR_TrailingStopMethod=4; MaxOrders=0; MaxOrdersPerType=0;
        37 -166.00         1109          0.75           -0.15     173.75       1.74  WPR_TrailingStopMethod=19; MaxOrders=0; MaxOrdersPerType=0;
