


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.06.29 20:30 (2018.01.01 - 2018.06.30)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
    Pass   Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
      17 -1028.70         5833          0.90           -0.18    1989.44      18.78   MACD_TrailingProfitMethod=9; MaxOrders=0; MaxOrdersPerType=0;
      20 -1063.70         5833          0.83           -0.18    1217.06      12.00 MACD_TrailingProfitMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
      26 -1089.47         5833          0.89           -0.19    1753.91      16.95 MACD_TrailingProfitMethod=-13; MaxOrders=0; MaxOrdersPerType=0;
      15 -1098.07         5833          0.89           -0.19    1613.86      15.78   MACD_TrailingProfitMethod=8; MaxOrders=0; MaxOrdersPerType=0;
       2 -1145.33         5833          0.88           -0.20    1535.00      15.01  MACD_TrailingProfitMethod=-1; MaxOrders=0; MaxOrdersPerType=0;
      13 -1149.53         5833          0.89           -0.20    1904.10      18.32   MACD_TrailingProfitMethod=7; MaxOrders=0; MaxOrdersPerType=0;
      24 -1181.97         5833          0.88           -0.20    1864.64      17.97 MACD_TrailingProfitMethod=-12; MaxOrders=0; MaxOrdersPerType=0;
      34 -1200.01         5833          0.88           -0.21    1868.43      18.04 MACD_TrailingProfitMethod=-17; MaxOrders=0; MaxOrdersPerType=0;
      12 -1209.95         5833          0.88           -0.21    1897.29      18.33  MACD_TrailingProfitMethod=-6; MaxOrders=0; MaxOrdersPerType=0;
      36 -1210.75         5833          0.88           -0.21    1881.14      18.18 MACD_TrailingProfitMethod=-18; MaxOrders=0; MaxOrdersPerType=0;
      18 -1248.91         5833          0.87           -0.21    1841.43      17.72  MACD_TrailingProfitMethod=-9; MaxOrders=0; MaxOrdersPerType=0;
      14 -1300.02         5833          0.87           -0.22    2077.64      19.97  MACD_TrailingProfitMethod=-7; MaxOrders=0; MaxOrdersPerType=0;
