


                                                                 Optimization Report
                                                             EA31337-Lite-Optimize-v1.076
                                                            Tripleafx-FX-Demo (Build 1010)

                            Symbol          EURUSD (Euro vs US Dollar)
                            Period          30 Minutes (M30) 2018.01.04 03:00 - 2018.12.30 23:30 (2018.01.01 - 2018.12.31)
                            Model           Every tick (the most precise method based on all available least timeframes)
                            Initial deposit 10000.00
                            Spread          10
                                                                 [Optimization Graph]
     Pass Profit Total trades Profit factor Expected Payoff Drawdown $ Drawdown %
       21 -34.84         1352          0.98           -0.03     208.17       2.06  CCI_TrailingProfitMethod=11; MaxOrders=0; MaxOrdersPerType=0;
       29 -34.84         1352          0.98           -0.03     208.17       2.06  CCI_TrailingProfitMethod=15; MaxOrders=0; MaxOrdersPerType=0;
       22 -35.78         1352          0.98           -0.03     208.17       2.06 CCI_TrailingProfitMethod=-11; MaxOrders=0; MaxOrdersPerType=0;
       30 -35.78         1352          0.98           -0.03     208.17       2.06 CCI_TrailingProfitMethod=-15; MaxOrders=0; MaxOrdersPerType=0;
       28 -43.01         1352          0.98           -0.03     213.19       2.11 CCI_TrailingProfitMethod=-14; MaxOrders=0; MaxOrdersPerType=0;
       27 -47.21         1352          0.97           -0.03     213.19       2.11  CCI_TrailingProfitMethod=14; MaxOrders=0; MaxOrdersPerType=0;
       31 -64.76         1352          0.96           -0.05     210.84       2.08  CCI_TrailingProfitMethod=16; MaxOrders=0; MaxOrdersPerType=0;
       32 -65.70         1352          0.96           -0.05     210.84       2.08 CCI_TrailingProfitMethod=-16; MaxOrders=0; MaxOrdersPerType=0;
       19 -78.43         1352          0.95           -0.06     213.15       2.11  CCI_TrailingProfitMethod=10; MaxOrders=0; MaxOrdersPerType=0;
       20 -80.45         1352          0.95           -0.06     213.15       2.11 CCI_TrailingProfitMethod=-10; MaxOrders=0; MaxOrdersPerType=0;
